2025-03-07 12:08:51,480 - INFO - Camera started
2025-03-07 12:09:31,979 - WARNING - Failed to read frame from video
2025-03-07 12:09:34,691 - INFO - Camera stopped
2025-03-07 12:12:19,107 - INFO - Camera started
2025-03-07 12:12:44,234 - INFO - Camera stopped
2025-03-07 12:13:30,389 - INFO - Camera started
2025-03-07 12:13:58,090 - INFO - Camera stopped
2025-03-07 12:14:15,603 - INFO - Camera started
2025-03-07 12:15:44,911 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:16:54,695 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:16:56,601 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:17:17,172 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:17:18,141 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:17:20,614 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:17:44,107 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:17:44,266 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:18:01,660 - WARNING - PHÁT HI\u1ec6N NGÃ
2025-03-07 12:18:26,291 - WARNING - Failed to read frame from video
2025-03-07 12:20:51,284 - INFO - Camera started
2025-03-07 12:20:54,197 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=96, y=51, w=54, h=95
2025-03-07 12:20:54,197 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=98, y=30, w=41, h=40
2025-03-07 12:20:54,258 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=65, y=22, w=132, h=437
2025-03-07 12:20:54,259 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=105, y=249, w=55, h=166
2025-03-07 12:20:54,259 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=120, y=143, w=32, h=105
2025-03-07 12:20:54,259 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=100, y=30, w=50, h=116
2025-03-07 12:20:54,309 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=65, y=22, w=134, h=438
2025-03-07 12:20:54,310 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=102, y=30, w=59, h=392
2025-03-07 12:20:54,354 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=66, y=22, w=133, h=438
2025-03-07 12:20:54,354 - INFO - Phát hi\u1ec7n ng\u01b0\u1eddi: x=114, y=200, w=47, h=235
